UCUM_symbol,NC_symbol,SI_symbol,label_en,label_fr,definition_en,comment_en,SI_category,Notes
Gy,Gy,Gy,gray,gray,A special named SI unit which 1) is a unit of absorbed dose and 2) is equal to a square metre per square second.,,Special named,
Hz,Hz,Hz,hertz,hertz,A special named SI unit which 1) is a unit of frequency and 2) is equal to a reciprocal second.,,Special named,
H,H,H,henry,henry,A special named SI unit which 1) is a unit of inductance or kerma and 2) is equal to a kilogram square metre per square ampere square second.,,Special named,
J,J,J,joule,joule,"A special named SI unit which 1) is a unit of energy, work, or amount of heat and 2) is equal to a kilogram square metre per square second.",,Special named,
kat,kat,kat,katal,katal,A special named SI unit which 1) is a unit of catalytic activity and 2) is equal to a mole per second.,,Special named,
lm,lm,lm,lumen,lumen,A special named SI unit which 1) is a unit of luminous flux and 2) is equal to a candela steradian.,,Special named,
lx,lx,lx,lux,lux,A special named SI unit which 1) is a unit of illuminance and 2) is equal to a candela steradian per square metre.,,Special named,
N,N,N,newton,newton,A special named SI unit which 1) is a unit of force and 2) is equal to a kilogram metre per square second.,,Special named,
Ohm,Ohm,Ω,ohm,ohm,A special named SI unit which 1) is a unit of electric resistance and 2) is equal to a kilogram square metre per square ampere cubic second.,,Special named,
Pa,Pa,Pa,pascal,pascal,A special named SI unit which 1) is a unit of pressure or stress and 2) is equal to a kilogram per metre square second.,,Special named,
rad,rad,rad,radian,radian,A special named SI unit which 1) is a unit of plane angle and 2) is equal to a metre per metre.,,Special named,
Sv,Sv,Sv,sievert,sievert,A special named SI unit which 1) is a unit of dose equivalent and 2) is equal to a square metre per square second.,,Special named,
sr,sr,sr,steradian,stéradian,A special named SI unit which 1) is a unit of solid angle and 2) is equal to a square metre per square metre.,,Special named,
S,S,S,siemens,siemens,A special named SI unit which 1) is a unit of electric conductance and 2) is equal to a square ampere cubic second per kilogram square metre.,,Special named,
T,T,T,tesla,tesla,A special named SI unit which 1) is a unit of magnetic flux density and 2) is equal to a kilogram per ampere square second.,,Special named,
V,V,V,volt,volt,A special named SI unit which 1) is a unit of electric potential difference and 2) is equal to a kilogram square metre per ampere cubic second.,,Special named,
Wb,Wb,Wb,weber,weber,A special named SI unit which 1) is a unit of magnetic flux and 2) is equal to a kilogram square metre per ampere square second.,,Special named,
W,W,W,watt,watt,A special named SI unit which 1) is a unit of power or radiant flux and 2) is equal to a kilogram square metre per cubic second.,,Special named,
AU,au,au,astronomical unit,unité astronomique,"A unit which 1) is a unit of length, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 149 597 870 700 metre.",,Non-SI units accepted for use,
B,B,B,bel,bel,"A unit which 1) is a unit of logarithmic ratio quantities, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is defined as the logarithm of a ratio between two power quantities of 10:1, or the logarithm of a ratio between two root-power quantities of √10:1.",,Non-SI units accepted for use,"Also mentions ""dB"". Definition source: ""Letter symbols to be used in electrical technology"". International Standard CEI-IEC 27-3. International Electrotechnical Commission. Part 3: Logarithmic quantities and units."
deg,deg,°,plane angle degree,angle plan et de phase degré,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/180 radian.",,Non-SI units accepted for use,
d,d,d,day,jour,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 24 hour or 86400 second.",,Non-SI units accepted for use,
u,Da,Da,dalton,dalton,"A unit which 1) is a unit of mass, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 1.66053906660(50)×10⁻²⁷ kilogram.",,Non-SI units accepted for use,"Alt symbol ""u"""
eV,eV,eV,electronvolt,électronvolt,"A unit which 1) is a unit of energy, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 1.602 176 634 × 10⁻¹⁹ joule.",,Non-SI units accepted for use,
h,h,h,hour,heure,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 60 minute or 3600 second.",,Non-SI units accepted for use,
L,L,L,litre,litre,"A unit which 1) is a unit of volume, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10⁻³ cubic metre.",,Non-SI units accepted for use,"Also has symbol ""l"""
min,min,min,minute,minute,"A unit which 1) is a unit of time, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 60 second.",,Non-SI units accepted for use,
Np,Np,Np,neper,néper,"A unit which 1) is a unit of logarithmic ratio quantities, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is used to express the values of quantities whose numerical values are based on the use of the neperian (or natural) logarithm, ln = log(e).",,Non-SI units accepted for use,
t,t,t,tonne,tonne,"A unit which 1) is a unit of mass, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10³ kilogram.",,Non-SI units accepted for use,"Alt label ""metric ton"""
',PAM,′,plane angle minute,angle plan et de phase minute,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/ 10800 radian.",,Non-SI units accepted for use,"Alt label ""arcsecond"""
'',PAS,′′,plane angle second,angle plan et de phase seconde,"A unit which 1) is a unit of plane and phase angle, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to π/ 648000 radian.",,Non-SI units accepted for use,
ar,ar,a,are,are,"A unit which 1) is a unit of area, 2) is a non-SI but is accepted accepted for use with the SI Units and 2) is equal to 10⁴ square metre.",,Non-SI units accepted for use*,"Mentions ""ha"" not ""a"""
